       Step     Time          Energy          fmax
LBFGS:    0 10:45:00   -33766.630166        7.817458
LBFGS:    1 10:45:00   -33767.359372       10.313061
LBFGS:    2 10:45:00   -33767.738751        4.184647
LBFGS:    3 10:45:00   -33767.952012        1.880894
LBFGS:    4 10:45:00   -33768.034533        0.802013
LBFGS:    5 10:45:00   -33768.103781        1.252738
LBFGS:    6 10:45:00   -33768.166794        0.953231
LBFGS:    7 10:45:00   -33768.224133        0.519450
LBFGS:    8 10:45:00   -33768.254162        0.437605
LBFGS:    9 10:45:00   -33768.268028        0.318539
LBFGS:   10 10:45:00   -33768.275469        0.248277
LBFGS:   11 10:45:00   -33768.281744        0.211105
LBFGS:   12 10:45:00   -33768.286745        0.178814
LBFGS:   13 10:45:00   -33768.292197        0.180489
LBFGS:   14 10:45:00   -33768.297009        0.208180
LBFGS:   15 10:45:01   -33768.301393        0.177164
LBFGS:   16 10:45:01   -33768.304378        0.133549
LBFGS:   17 10:45:01   -33768.307072        0.134205
LBFGS:   18 10:45:01   -33768.310410        0.155723
LBFGS:   19 10:45:01   -33768.314822        0.200229
LBFGS:   20 10:45:01   -33768.319212        0.227416
LBFGS:   21 10:45:01   -33768.323032        0.207639
LBFGS:   22 10:45:01   -33768.326538        0.170580
LBFGS:   23 10:45:01   -33768.330982        0.197931
LBFGS:   24 10:45:01   -33768.336596        0.227819
LBFGS:   25 10:45:01   -33768.341808        0.185973
LBFGS:   26 10:45:01   -33768.345676        0.170648
LBFGS:   27 10:45:01   -33768.349388        0.124200
LBFGS:   28 10:45:01   -33768.352782        0.131321
LBFGS:   29 10:45:01   -33768.356279        0.138143
LBFGS:   30 10:45:01   -33768.359447        0.149171
LBFGS:   31 10:45:01   -33768.362272        0.273567
LBFGS:   32 10:45:01   -33768.364373        0.145578
LBFGS:   33 10:45:01   -33768.365839        0.061555
LBFGS:   34 10:45:01   -33768.366434        0.054117
LBFGS:   35 10:45:01   -33768.367163        0.061279
LBFGS:   36 10:45:01   -33768.368006        0.102979
LBFGS:   37 10:45:01   -33768.369165        0.138403
LBFGS:   38 10:45:01   -33768.370435        0.139700
LBFGS:   39 10:45:01   -33768.371686        0.110658
LBFGS:   40 10:45:01   -33768.372754        0.080336
LBFGS:   41 10:45:01   -33768.373596        0.059714
LBFGS:   42 10:45:01   -33768.374216        0.061513
LBFGS:   43 10:45:01   -33768.374760        0.078802
LBFGS:   44 10:45:01   -33768.375413        0.099267
LBFGS:   45 10:45:01   -33768.376324        0.113078
LBFGS:   46 10:45:01   -33768.377503        0.114252
LBFGS:   47 10:45:01   -33768.378809        0.114367
LBFGS:   48 10:45:01   -33768.380105        0.092958
LBFGS:   49 10:45:01   -33768.381371        0.086265
LBFGS:   50 10:45:01   -33768.382606        0.086977
LBFGS:   51 10:45:01   -33768.383763        0.074468
LBFGS:   52 10:45:01   -33768.384676        0.071433
LBFGS:   53 10:45:01   -33768.385321        0.054356
LBFGS:   54 10:45:01   -33768.385888        0.079283
LBFGS:   55 10:45:01   -33768.386486        0.056331
LBFGS:   56 10:45:01   -33768.387045        0.043371
