       Step     Time          Energy          fmax
LBFGS:    0 10:37:06   -33766.630166        7.817458
LBFGS:    1 10:37:06   -33767.359370       10.313080
LBFGS:    2 10:37:06   -33767.738752        4.184654
LBFGS:    3 10:37:06   -33767.952011        1.880876
LBFGS:    4 10:37:06   -33768.034532        0.802008
LBFGS:    5 10:37:06   -33768.103781        1.252736
LBFGS:    6 10:37:06   -33768.166793        0.953222
LBFGS:    7 10:37:06   -33768.224130        0.519458
LBFGS:    8 10:37:06   -33768.254160        0.437642
LBFGS:    9 10:37:06   -33768.268027        0.318537
LBFGS:   10 10:37:06   -33768.275469        0.248251
LBFGS:   11 10:37:06   -33768.281745        0.211109
LBFGS:   12 10:37:06   -33768.286745        0.178806
LBFGS:   13 10:37:06   -33768.292197        0.180509
LBFGS:   14 10:37:06   -33768.297010        0.208172
LBFGS:   15 10:37:06   -33768.301394        0.177160
LBFGS:   16 10:37:06   -33768.304377        0.133547
LBFGS:   17 10:37:06   -33768.307072        0.134203
LBFGS:   18 10:37:07   -33768.310413        0.155716
LBFGS:   19 10:37:07   -33768.314821        0.200222
LBFGS:   20 10:37:07   -33768.319213        0.227409
LBFGS:   21 10:37:07   -33768.323033        0.207631
LBFGS:   22 10:37:07   -33768.326539        0.170572
LBFGS:   23 10:37:07   -33768.330982        0.197994
LBFGS:   24 10:37:07   -33768.336593        0.227833
LBFGS:   25 10:37:07   -33768.341809        0.185958
LBFGS:   26 10:37:07   -33768.345678        0.170609
LBFGS:   27 10:37:07   -33768.349390        0.124201
LBFGS:   28 10:37:07   -33768.352782        0.131330
LBFGS:   29 10:37:07   -33768.356281        0.138152
LBFGS:   30 10:37:07   -33768.359447        0.149159
LBFGS:   31 10:37:07   -33768.362274        0.273610
LBFGS:   32 10:37:07   -33768.364374        0.145466
LBFGS:   33 10:37:07   -33768.365839        0.061587
LBFGS:   34 10:37:07   -33768.366436        0.054107
LBFGS:   35 10:37:07   -33768.367162        0.061266
LBFGS:   36 10:37:07   -33768.368006        0.102940
LBFGS:   37 10:37:07   -33768.369166        0.138406
LBFGS:   38 10:37:07   -33768.370435        0.139730
LBFGS:   39 10:37:07   -33768.371685        0.110733
LBFGS:   40 10:37:07   -33768.372754        0.080428
LBFGS:   41 10:37:07   -33768.373594        0.059713
LBFGS:   42 10:37:07   -33768.374212        0.061523
LBFGS:   43 10:37:07   -33768.374760        0.078818
LBFGS:   44 10:37:07   -33768.375414        0.099248
LBFGS:   45 10:37:07   -33768.376325        0.113167
LBFGS:   46 10:37:07   -33768.377505        0.114069
LBFGS:   47 10:37:07   -33768.378809        0.114616
LBFGS:   48 10:37:07   -33768.380105        0.092628
LBFGS:   49 10:37:07   -33768.381370        0.086211
LBFGS:   50 10:37:07   -33768.382602        0.087167
LBFGS:   51 10:37:07   -33768.383753        0.072349
LBFGS:   52 10:37:07   -33768.384648        0.075268
LBFGS:   53 10:37:07   -33768.385286        0.054898
LBFGS:   54 10:37:07   -33768.385860        0.067701
LBFGS:   55 10:37:07   -33768.386540        0.054461
LBFGS:   56 10:37:07   -33768.387018        0.043625
