       Step     Time          Energy          fmax
LBFGS:    0 10:39:36   -33766.630166        7.817459
LBFGS:    1 10:39:36   -33767.359370       10.313082
LBFGS:    2 10:39:36   -33767.738751        4.184662
LBFGS:    3 10:39:36   -33767.952012        1.880877
LBFGS:    4 10:39:36   -33768.034533        0.802008
LBFGS:    5 10:39:36   -33768.103782        1.252736
LBFGS:    6 10:39:37   -33768.166794        0.953242
LBFGS:    7 10:39:37   -33768.224133        0.519475
LBFGS:    8 10:39:37   -33768.254160        0.437688
LBFGS:    9 10:39:37   -33768.268028        0.318595
LBFGS:   10 10:39:37   -33768.275467        0.248309
LBFGS:   11 10:39:37   -33768.281746        0.211125
LBFGS:   12 10:39:37   -33768.286743        0.178791
LBFGS:   13 10:39:37   -33768.292198        0.180507
LBFGS:   14 10:39:37   -33768.297008        0.208180
LBFGS:   15 10:39:37   -33768.301394        0.177159
LBFGS:   16 10:39:37   -33768.304378        0.133548
LBFGS:   17 10:39:37   -33768.307072        0.134204
LBFGS:   18 10:39:37   -33768.310409        0.155722
LBFGS:   19 10:39:37   -33768.314822        0.200230
LBFGS:   20 10:39:37   -33768.319212        0.227414
LBFGS:   21 10:39:37   -33768.323032        0.207635
LBFGS:   22 10:39:37   -33768.326542        0.170571
LBFGS:   23 10:39:37   -33768.330981        0.198008
LBFGS:   24 10:39:37   -33768.336592        0.227846
LBFGS:   25 10:39:37   -33768.341813        0.185961
LBFGS:   26 10:39:37   -33768.345674        0.170634
LBFGS:   27 10:39:37   -33768.349390        0.124187
LBFGS:   28 10:39:37   -33768.352779        0.131335
LBFGS:   29 10:39:37   -33768.356280        0.138155
LBFGS:   30 10:39:37   -33768.359445        0.149164
LBFGS:   31 10:39:37   -33768.362274        0.273518
LBFGS:   32 10:39:37   -33768.364373        0.145510
LBFGS:   33 10:39:37   -33768.365839        0.061610
LBFGS:   34 10:39:37   -33768.366435        0.054113
LBFGS:   35 10:39:37   -33768.367162        0.061273
LBFGS:   36 10:39:37   -33768.368004        0.102992
LBFGS:   37 10:39:37   -33768.369166        0.138426
LBFGS:   38 10:39:37   -33768.370437        0.139731
LBFGS:   39 10:39:37   -33768.371687        0.110712
LBFGS:   40 10:39:37   -33768.372756        0.080371
LBFGS:   41 10:39:37   -33768.373594        0.059709
LBFGS:   42 10:39:37   -33768.374216        0.061523
LBFGS:   43 10:39:37   -33768.374761        0.078836
LBFGS:   44 10:39:37   -33768.375414        0.099215
LBFGS:   45 10:39:37   -33768.376325        0.113135
LBFGS:   46 10:39:37   -33768.377503        0.114084
LBFGS:   47 10:39:37   -33768.378809        0.114540
LBFGS:   48 10:39:37   -33768.380104        0.092712
LBFGS:   49 10:39:37   -33768.381372        0.086228
LBFGS:   50 10:39:37   -33768.382604        0.087113
LBFGS:   51 10:39:37   -33768.383760        0.072838
LBFGS:   52 10:39:37   -33768.384655        0.074440
LBFGS:   53 10:39:37   -33768.385295        0.054808
LBFGS:   54 10:39:37   -33768.385868        0.070096
LBFGS:   55 10:39:37   -33768.386525        0.054413
LBFGS:   56 10:39:37   -33768.387025        0.043288
