       Step     Time          Energy          fmax
LBFGS:    0 10:39:04   -33766.648022        8.206493
LBFGS:    1 10:39:04   -33767.478771       10.494431
LBFGS:    2 10:39:04   -33767.790747        4.769700
LBFGS:    3 10:39:04   -33768.026631        1.909010
LBFGS:    4 10:39:04   -33768.101984        0.670117
LBFGS:    5 10:39:04   -33768.152768        1.009751
LBFGS:    6 10:39:04   -33768.196984        0.680345
LBFGS:    7 10:39:04   -33768.216759        0.315738
LBFGS:    8 10:39:04   -33768.232047        0.367109
LBFGS:    9 10:39:04   -33768.243728        0.447215
LBFGS:   10 10:39:04   -33768.255307        0.309505
LBFGS:   11 10:39:04   -33768.267499        0.271527
LBFGS:   12 10:39:04   -33768.279987        0.309977
LBFGS:   13 10:39:04   -33768.292898        0.364940
LBFGS:   14 10:39:04   -33768.306356        0.266592
LBFGS:   15 10:39:04   -33768.320410        0.271625
LBFGS:   16 10:39:04   -33768.332129        0.248751
LBFGS:   17 10:39:04   -33768.340072        0.181631
LBFGS:   18 10:39:04   -33768.345050        0.151957
LBFGS:   19 10:39:04   -33768.348436        0.135908
LBFGS:   20 10:39:05   -33768.350756        0.122495
LBFGS:   21 10:39:05   -33768.352385        0.093759
LBFGS:   22 10:39:05   -33768.353406        0.067335
LBFGS:   23 10:39:05   -33768.353994        0.059297
LBFGS:   24 10:39:05   -33768.354417        0.064266
LBFGS:   25 10:39:05   -33768.354920        0.062803
LBFGS:   26 10:39:05   -33768.355654        0.064359
LBFGS:   27 10:39:05   -33768.356564        0.065615
LBFGS:   28 10:39:05   -33768.357364        0.071877
LBFGS:   29 10:39:05   -33768.358080        0.057429
LBFGS:   30 10:39:05   -33768.358809        0.057313
LBFGS:   31 10:39:05   -33768.359659        0.061396
LBFGS:   32 10:39:05   -33768.360517        0.074821
LBFGS:   33 10:39:05   -33768.361348        0.079776
LBFGS:   34 10:39:05   -33768.362199        0.076947
LBFGS:   35 10:39:05   -33768.363178        0.096964
LBFGS:   36 10:39:05   -33768.364138        0.083236
LBFGS:   37 10:39:05   -33768.364971        0.067937
LBFGS:   38 10:39:05   -33768.365648        0.074914
LBFGS:   39 10:39:05   -33768.366436        0.073214
LBFGS:   40 10:39:05   -33768.367367        0.077121
LBFGS:   41 10:39:05   -33768.368247        0.077184
LBFGS:   42 10:39:05   -33768.368897        0.068620
LBFGS:   43 10:39:05   -33768.369394        0.054769
LBFGS:   44 10:39:05   -33768.369851        0.057071
LBFGS:   45 10:39:05   -33768.370367        0.062515
LBFGS:   46 10:39:05   -33768.370945        0.067333
LBFGS:   47 10:39:05   -33768.371512        0.071109
LBFGS:   48 10:39:05   -33768.371960        0.062013
LBFGS:   49 10:39:05   -33768.372303        0.050469
LBFGS:   50 10:39:05   -33768.372638        0.053133
LBFGS:   51 10:39:05   -33768.373057        0.064648
LBFGS:   52 10:39:05   -33768.373562        0.067735
LBFGS:   53 10:39:05   -33768.374075        0.059097
LBFGS:   54 10:39:05   -33768.374490        0.046538
