       Step     Time          Energy          fmax
LBFGS:    0 10:39:01   -33766.630166        7.817460
LBFGS:    1 10:39:01   -33767.359369       10.313082
LBFGS:    2 10:39:01   -33767.738751        4.184650
LBFGS:    3 10:39:01   -33767.952013        1.880906
LBFGS:    4 10:39:01   -33768.034533        0.802012
LBFGS:    5 10:39:01   -33768.103780        1.252753
LBFGS:    6 10:39:01   -33768.166793        0.953219
LBFGS:    7 10:39:01   -33768.224134        0.519455
LBFGS:    8 10:39:01   -33768.254160        0.437601
LBFGS:    9 10:39:01   -33768.268028        0.318504
LBFGS:   10 10:39:01   -33768.275466        0.248242
LBFGS:   11 10:39:01   -33768.281747        0.211101
LBFGS:   12 10:39:01   -33768.286743        0.178816
LBFGS:   13 10:39:01   -33768.292200        0.180508
LBFGS:   14 10:39:01   -33768.297009        0.208171
LBFGS:   15 10:39:01   -33768.301392        0.177162
LBFGS:   16 10:39:01   -33768.304378        0.133553
LBFGS:   17 10:39:01   -33768.307073        0.134203
LBFGS:   18 10:39:01   -33768.310411        0.155720
LBFGS:   19 10:39:01   -33768.314821        0.200229
LBFGS:   20 10:39:01   -33768.319211        0.227418
LBFGS:   21 10:39:01   -33768.323030        0.207637
LBFGS:   22 10:39:02   -33768.326541        0.170574
LBFGS:   23 10:39:02   -33768.330980        0.197947
LBFGS:   24 10:39:02   -33768.336596        0.227810
LBFGS:   25 10:39:02   -33768.341807        0.185973
LBFGS:   26 10:39:02   -33768.345678        0.170649
LBFGS:   27 10:39:02   -33768.349388        0.124202
LBFGS:   28 10:39:02   -33768.352781        0.131316
LBFGS:   29 10:39:02   -33768.356280        0.138148
LBFGS:   30 10:39:02   -33768.359446        0.149170
LBFGS:   31 10:39:02   -33768.362272        0.273487
LBFGS:   32 10:39:02   -33768.364373        0.145597
LBFGS:   33 10:39:02   -33768.365837        0.061590
LBFGS:   34 10:39:02   -33768.366436        0.054113
LBFGS:   35 10:39:02   -33768.367163        0.061284
LBFGS:   36 10:39:02   -33768.368005        0.103007
LBFGS:   37 10:39:02   -33768.369164        0.138438
LBFGS:   38 10:39:02   -33768.370434        0.139713
LBFGS:   39 10:39:02   -33768.371686        0.110662
LBFGS:   40 10:39:02   -33768.372753        0.080321
LBFGS:   41 10:39:02   -33768.373592        0.059713
LBFGS:   42 10:39:02   -33768.374212        0.061511
LBFGS:   43 10:39:02   -33768.374760        0.078823
LBFGS:   44 10:39:02   -33768.375413        0.099221
LBFGS:   45 10:39:02   -33768.376324        0.113117
LBFGS:   46 10:39:02   -33768.377503        0.114124
LBFGS:   47 10:39:02   -33768.378808        0.114492
LBFGS:   48 10:39:02   -33768.380106        0.092768
LBFGS:   49 10:39:02   -33768.381374        0.086240
LBFGS:   50 10:39:02   -33768.382605        0.087077
LBFGS:   51 10:39:02   -33768.383760        0.073257
LBFGS:   52 10:39:02   -33768.384662        0.073717
LBFGS:   53 10:39:02   -33768.385297        0.054720
LBFGS:   54 10:39:02   -33768.385871        0.072187
LBFGS:   55 10:39:02   -33768.386514        0.054590
LBFGS:   56 10:39:02   -33768.387031        0.043057
