       Step     Time          Energy          fmax
LBFGS:    0 10:45:04   -33766.648022        8.206493
LBFGS:    1 10:45:04   -33767.478771       10.494432
LBFGS:    2 10:45:04   -33767.790746        4.769702
LBFGS:    3 10:45:04   -33768.026629        1.909007
LBFGS:    4 10:45:04   -33768.101984        0.670116
LBFGS:    5 10:45:04   -33768.152769        1.009751
LBFGS:    6 10:45:04   -33768.196982        0.680338
LBFGS:    7 10:45:04   -33768.216758        0.315752
LBFGS:    8 10:45:04   -33768.232048        0.367105
LBFGS:    9 10:45:04   -33768.243726        0.447217
LBFGS:   10 10:45:04   -33768.255309        0.309506
LBFGS:   11 10:45:04   -33768.267498        0.271521
LBFGS:   12 10:45:04   -33768.279986        0.309978
LBFGS:   13 10:45:04   -33768.292897        0.364917
LBFGS:   14 10:45:04   -33768.306357        0.266584
LBFGS:   15 10:45:04   -33768.320411        0.271629
LBFGS:   16 10:45:04   -33768.332131        0.248744
LBFGS:   17 10:45:04   -33768.340071        0.181638
LBFGS:   18 10:45:04   -33768.345052        0.151948
LBFGS:   19 10:45:04   -33768.348436        0.135913
LBFGS:   20 10:45:04   -33768.350756        0.122495
LBFGS:   21 10:45:04   -33768.352384        0.093759
LBFGS:   22 10:45:04   -33768.353405        0.067335
LBFGS:   23 10:45:04   -33768.353994        0.059294
LBFGS:   24 10:45:04   -33768.354417        0.064272
LBFGS:   25 10:45:04   -33768.354922        0.062808
LBFGS:   26 10:45:04   -33768.355653        0.064366
LBFGS:   27 10:45:04   -33768.356566        0.065610
LBFGS:   28 10:45:04   -33768.357365        0.071880
LBFGS:   29 10:45:04   -33768.358078        0.057420
LBFGS:   30 10:45:04   -33768.358811        0.057311
LBFGS:   31 10:45:04   -33768.359660        0.061395
LBFGS:   32 10:45:04   -33768.360517        0.074825
LBFGS:   33 10:45:04   -33768.361346        0.079774
LBFGS:   34 10:45:04   -33768.362198        0.076945
LBFGS:   35 10:45:04   -33768.363178        0.096976
LBFGS:   36 10:45:04   -33768.364138        0.083231
LBFGS:   37 10:45:04   -33768.364972        0.067947
LBFGS:   38 10:45:04   -33768.365645        0.074922
LBFGS:   39 10:45:04   -33768.366434        0.073211
LBFGS:   40 10:45:04   -33768.367367        0.077119
LBFGS:   41 10:45:04   -33768.368245        0.077185
LBFGS:   42 10:45:04   -33768.368895        0.068629
LBFGS:   43 10:45:04   -33768.369392        0.054780
LBFGS:   44 10:45:04   -33768.369853        0.057073
LBFGS:   45 10:45:04   -33768.370366        0.062514
LBFGS:   46 10:45:04   -33768.370946        0.067338
LBFGS:   47 10:45:04   -33768.371510        0.071111
LBFGS:   48 10:45:04   -33768.371960        0.062015
LBFGS:   49 10:45:05   -33768.372305        0.050469
LBFGS:   50 10:45:05   -33768.372637        0.053128
LBFGS:   51 10:45:05   -33768.373058        0.064648
LBFGS:   52 10:45:05   -33768.373562        0.067731
LBFGS:   53 10:45:05   -33768.374075        0.059092
LBFGS:   54 10:45:05   -33768.374491        0.046704
