       Step     Time          Energy          fmax
LBFGS:    0 10:37:52   -33766.648022        8.206492
LBFGS:    1 10:37:52   -33767.478772       10.494431
LBFGS:    2 10:37:52   -33767.790748        4.769694
LBFGS:    3 10:37:52   -33768.026632        1.909016
LBFGS:    4 10:37:52   -33768.101984        0.670111
LBFGS:    5 10:37:52   -33768.152767        1.009761
LBFGS:    6 10:37:52   -33768.196983        0.680317
LBFGS:    7 10:37:52   -33768.216758        0.315732
LBFGS:    8 10:37:52   -33768.232047        0.367111
LBFGS:    9 10:37:52   -33768.243727        0.447214
LBFGS:   10 10:37:52   -33768.255307        0.309514
LBFGS:   11 10:37:52   -33768.267498        0.271516
LBFGS:   12 10:37:52   -33768.279989        0.309970
LBFGS:   13 10:37:53   -33768.292900        0.364939
LBFGS:   14 10:37:53   -33768.306355        0.266581
LBFGS:   15 10:37:53   -33768.320411        0.271631
LBFGS:   16 10:37:53   -33768.332129        0.248750
LBFGS:   17 10:37:53   -33768.340071        0.181632
LBFGS:   18 10:37:53   -33768.345050        0.151952
LBFGS:   19 10:37:53   -33768.348436        0.135907
LBFGS:   20 10:37:53   -33768.350755        0.122492
LBFGS:   21 10:37:53   -33768.352383        0.093760
LBFGS:   22 10:37:53   -33768.353405        0.067333
LBFGS:   23 10:37:53   -33768.353994        0.059294
LBFGS:   24 10:37:53   -33768.354418        0.064268
LBFGS:   25 10:37:53   -33768.354921        0.062809
LBFGS:   26 10:37:53   -33768.355654        0.064371
LBFGS:   27 10:37:53   -33768.356563        0.065606
LBFGS:   28 10:37:53   -33768.357364        0.071884
LBFGS:   29 10:37:53   -33768.358079        0.057419
LBFGS:   30 10:37:53   -33768.358810        0.057311
LBFGS:   31 10:37:53   -33768.359659        0.061404
LBFGS:   32 10:37:53   -33768.360516        0.074823
LBFGS:   33 10:37:53   -33768.361347        0.079775
LBFGS:   34 10:37:53   -33768.362199        0.076943
LBFGS:   35 10:37:53   -33768.363176        0.096991
LBFGS:   36 10:37:53   -33768.364136        0.083229
LBFGS:   37 10:37:53   -33768.364973        0.067945
LBFGS:   38 10:37:53   -33768.365646        0.074909
LBFGS:   39 10:37:53   -33768.366434        0.073216
LBFGS:   40 10:37:53   -33768.367369        0.077118
LBFGS:   41 10:37:53   -33768.368246        0.077180
LBFGS:   42 10:37:53   -33768.368898        0.068624
LBFGS:   43 10:37:53   -33768.369394        0.054769
LBFGS:   44 10:37:53   -33768.369852        0.057073
LBFGS:   45 10:37:53   -33768.370365        0.062510
LBFGS:   46 10:37:53   -33768.370946        0.067333
LBFGS:   47 10:37:53   -33768.371512        0.071111
LBFGS:   48 10:37:53   -33768.371960        0.062013
LBFGS:   49 10:37:53   -33768.372305        0.050467
LBFGS:   50 10:37:53   -33768.372637        0.053138
LBFGS:   51 10:37:53   -33768.373060        0.064645
LBFGS:   52 10:37:53   -33768.373562        0.067729
LBFGS:   53 10:37:53   -33768.374074        0.059093
LBFGS:   54 10:37:53   -33768.374490        0.046630
