       Step     Time          Energy          fmax
LBFGS:    0 10:37:51   -33766.491030        9.131861
LBFGS:    1 10:37:51   -33767.315257       11.327265
LBFGS:    2 10:37:51   -33767.695751        4.809296
LBFGS:    3 10:37:52   -33767.948224        1.858734
LBFGS:    4 10:37:52   -33768.034497        0.749856
LBFGS:    5 10:37:52   -33768.089672        1.167446
LBFGS:    6 10:37:52   -33768.129906        0.905193
LBFGS:    7 10:37:52   -33768.153727        0.368211
LBFGS:    8 10:37:52   -33768.170068        0.346063
LBFGS:    9 10:37:52   -33768.182419        0.398622
LBFGS:   10 10:37:52   -33768.190437        0.248028
LBFGS:   11 10:37:52   -33768.195718        0.161867
LBFGS:   12 10:37:52   -33768.199257        0.194377
LBFGS:   13 10:37:52   -33768.202594        0.196477
LBFGS:   14 10:37:52   -33768.205615        0.145669
LBFGS:   15 10:37:52   -33768.208316        0.129133
LBFGS:   16 10:37:52   -33768.210202        0.108999
LBFGS:   17 10:37:52   -33768.211586        0.108363
LBFGS:   18 10:37:52   -33768.212833        0.092270
LBFGS:   19 10:37:52   -33768.214128        0.104036
LBFGS:   20 10:37:52   -33768.215407        0.098257
LBFGS:   21 10:37:52   -33768.216700        0.096559
LBFGS:   22 10:37:52   -33768.218108        0.093818
LBFGS:   23 10:37:52   -33768.219731        0.102057
LBFGS:   24 10:37:52   -33768.221400        0.107316
LBFGS:   25 10:37:52   -33768.222943        0.109822
LBFGS:   26 10:37:52   -33768.224269        0.096701
LBFGS:   27 10:37:52   -33768.225504        0.089733
LBFGS:   28 10:37:52   -33768.226587        0.070738
LBFGS:   29 10:37:52   -33768.227506        0.065182
LBFGS:   30 10:37:52   -33768.228264        0.058392
LBFGS:   31 10:37:52   -33768.228962        0.062812
LBFGS:   32 10:37:52   -33768.229661        0.067113
LBFGS:   33 10:37:52   -33768.230318        0.065938
LBFGS:   34 10:37:52   -33768.230861        0.053239
LBFGS:   35 10:37:52   -33768.231307        0.045788
