       Step     Time          Energy          fmax
LBFGS:    0 10:38:25   -33766.648022        8.206492
LBFGS:    1 10:38:25   -33767.478771       10.494429
LBFGS:    2 10:38:25   -33767.790747        4.769706
LBFGS:    3 10:38:25   -33768.026632        1.909007
LBFGS:    4 10:38:25   -33768.101983        0.670116
LBFGS:    5 10:38:25   -33768.152768        1.009751
LBFGS:    6 10:38:25   -33768.196984        0.680339
LBFGS:    7 10:38:25   -33768.216758        0.315742
LBFGS:    8 10:38:25   -33768.232047        0.367101
LBFGS:    9 10:38:25   -33768.243728        0.447207
LBFGS:   10 10:38:25   -33768.255307        0.309505
LBFGS:   11 10:38:25   -33768.267496        0.271520
LBFGS:   12 10:38:25   -33768.279989        0.309957
LBFGS:   13 10:38:25   -33768.292898        0.364940
LBFGS:   14 10:38:25   -33768.306357        0.266583
LBFGS:   15 10:38:25   -33768.320411        0.271635
LBFGS:   16 10:38:25   -33768.332128        0.248742
LBFGS:   17 10:38:25   -33768.340072        0.181631
LBFGS:   18 10:38:25   -33768.345051        0.151950
LBFGS:   19 10:38:25   -33768.348440        0.135915
LBFGS:   20 10:38:25   -33768.350756        0.122491
LBFGS:   21 10:38:25   -33768.352385        0.093762
LBFGS:   22 10:38:25   -33768.353403        0.067336
LBFGS:   23 10:38:25   -33768.353994        0.059296
LBFGS:   24 10:38:25   -33768.354418        0.064264
LBFGS:   25 10:38:25   -33768.354922        0.062808
LBFGS:   26 10:38:25   -33768.355654        0.064358
LBFGS:   27 10:38:25   -33768.356563        0.065604
LBFGS:   28 10:38:25   -33768.357364        0.071886
LBFGS:   29 10:38:25   -33768.358079        0.057427
LBFGS:   30 10:38:25   -33768.358811        0.057312
LBFGS:   31 10:38:25   -33768.359659        0.061399
LBFGS:   32 10:38:25   -33768.360516        0.074827
LBFGS:   33 10:38:25   -33768.361347        0.079771
LBFGS:   34 10:38:25   -33768.362199        0.076943
LBFGS:   35 10:38:25   -33768.363176        0.096992
LBFGS:   36 10:38:25   -33768.364136        0.083234
LBFGS:   37 10:38:25   -33768.364973        0.067929
LBFGS:   38 10:38:25   -33768.365647        0.074908
LBFGS:   39 10:38:25   -33768.366434        0.073221
LBFGS:   40 10:38:25   -33768.367367        0.077121
LBFGS:   41 10:38:25   -33768.368246        0.077187
LBFGS:   42 10:38:25   -33768.368895        0.068619
LBFGS:   43 10:38:25   -33768.369392        0.054769
LBFGS:   44 10:38:25   -33768.369852        0.057073
LBFGS:   45 10:38:25   -33768.370367        0.062514
LBFGS:   46 10:38:25   -33768.370947        0.067344
LBFGS:   47 10:38:25   -33768.371510        0.071113
LBFGS:   48 10:38:25   -33768.371961        0.062010
LBFGS:   49 10:38:25   -33768.372305        0.050470
LBFGS:   50 10:38:25   -33768.372638        0.053128
LBFGS:   51 10:38:25   -33768.373056        0.064646
LBFGS:   52 10:38:25   -33768.373562        0.067747
LBFGS:   53 10:38:25   -33768.374077        0.059110
LBFGS:   54 10:38:25   -33768.374491        0.046409
