       Step     Time          Energy          fmax
LBFGS:    0 10:39:39   -33766.648022        8.206492
LBFGS:    1 10:39:39   -33767.478771       10.494431
LBFGS:    2 10:39:39   -33767.790749        4.769696
LBFGS:    3 10:39:39   -33768.026630        1.909016
LBFGS:    4 10:39:39   -33768.101984        0.670114
LBFGS:    5 10:39:39   -33768.152768        1.009760
LBFGS:    6 10:39:39   -33768.196984        0.680328
LBFGS:    7 10:39:39   -33768.216757        0.315755
LBFGS:    8 10:39:39   -33768.232046        0.367097
LBFGS:    9 10:39:39   -33768.243726        0.447210
LBFGS:   10 10:39:40   -33768.255309        0.309507
LBFGS:   11 10:39:40   -33768.267495        0.271518
LBFGS:   12 10:39:40   -33768.279991        0.309963
LBFGS:   13 10:39:40   -33768.292900        0.364931
LBFGS:   14 10:39:40   -33768.306358        0.266588
LBFGS:   15 10:39:40   -33768.320409        0.271627
LBFGS:   16 10:39:40   -33768.332129        0.248737
LBFGS:   17 10:39:40   -33768.340073        0.181631
LBFGS:   18 10:39:40   -33768.345052        0.151950
LBFGS:   19 10:39:40   -33768.348438        0.135913
LBFGS:   20 10:39:40   -33768.350754        0.122488
LBFGS:   21 10:39:40   -33768.352385        0.093761
LBFGS:   22 10:39:40   -33768.353405        0.067337
LBFGS:   23 10:39:40   -33768.353995        0.059290
LBFGS:   24 10:39:40   -33768.354417        0.064266
LBFGS:   25 10:39:40   -33768.354922        0.062815
LBFGS:   26 10:39:40   -33768.355654        0.064361
LBFGS:   27 10:39:40   -33768.356565        0.065604
LBFGS:   28 10:39:40   -33768.357365        0.071879
LBFGS:   29 10:39:40   -33768.358079        0.057423
LBFGS:   30 10:39:40   -33768.358812        0.057310
LBFGS:   31 10:39:40   -33768.359659        0.061405
LBFGS:   32 10:39:40   -33768.360516        0.074827
LBFGS:   33 10:39:40   -33768.361346        0.079773
LBFGS:   34 10:39:40   -33768.362199        0.076943
LBFGS:   35 10:39:40   -33768.363178        0.096995
LBFGS:   36 10:39:40   -33768.364136        0.083228
LBFGS:   37 10:39:40   -33768.364972        0.067933
LBFGS:   38 10:39:40   -33768.365646        0.074912
LBFGS:   39 10:39:40   -33768.366436        0.073223
LBFGS:   40 10:39:40   -33768.367365        0.077119
LBFGS:   41 10:39:40   -33768.368246        0.077188
LBFGS:   42 10:39:40   -33768.368896        0.068622
LBFGS:   43 10:39:40   -33768.369393        0.054767
LBFGS:   44 10:39:40   -33768.369852        0.057073
LBFGS:   45 10:39:40   -33768.370366        0.062512
LBFGS:   46 10:39:40   -33768.370947        0.067344
LBFGS:   47 10:39:40   -33768.371510        0.071111
LBFGS:   48 10:39:40   -33768.371960        0.062012
LBFGS:   49 10:39:40   -33768.372305        0.050464
LBFGS:   50 10:39:40   -33768.372638        0.053132
LBFGS:   51 10:39:40   -33768.373058        0.064627
LBFGS:   52 10:39:40   -33768.373563        0.067752
LBFGS:   53 10:39:40   -33768.374076        0.059132
LBFGS:   54 10:39:40   -33768.374491        0.046029
