       Step     Time          Energy          fmax
LBFGS:    0 10:37:49   -33766.630166        7.817460
LBFGS:    1 10:37:49   -33767.359370       10.313081
LBFGS:    2 10:37:49   -33767.738750        4.184655
LBFGS:    3 10:37:49   -33767.952011        1.880887
LBFGS:    4 10:37:49   -33768.034533        0.802011
LBFGS:    5 10:37:49   -33768.103780        1.252730
LBFGS:    6 10:37:49   -33768.166794        0.953230
LBFGS:    7 10:37:49   -33768.224131        0.519462
LBFGS:    8 10:37:49   -33768.254161        0.437601
LBFGS:    9 10:37:49   -33768.268028        0.318522
LBFGS:   10 10:37:49   -33768.275467        0.248266
LBFGS:   11 10:37:49   -33768.281746        0.211116
LBFGS:   12 10:37:49   -33768.286744        0.178817
LBFGS:   13 10:37:49   -33768.292196        0.180503
LBFGS:   14 10:37:49   -33768.297008        0.208168
LBFGS:   15 10:37:50   -33768.301394        0.177175
LBFGS:   16 10:37:50   -33768.304379        0.133547
LBFGS:   17 10:37:50   -33768.307072        0.134199
LBFGS:   18 10:37:50   -33768.310411        0.155723
LBFGS:   19 10:37:50   -33768.314820        0.200226
LBFGS:   20 10:37:50   -33768.319212        0.227414
LBFGS:   21 10:37:50   -33768.323030        0.207635
LBFGS:   22 10:37:50   -33768.326539        0.170578
LBFGS:   23 10:37:50   -33768.330980        0.197982
LBFGS:   24 10:37:50   -33768.336593        0.227823
LBFGS:   25 10:37:50   -33768.341809        0.185972
LBFGS:   26 10:37:50   -33768.345675        0.170635
LBFGS:   27 10:37:50   -33768.349390        0.124197
LBFGS:   28 10:37:50   -33768.352781        0.131331
LBFGS:   29 10:37:50   -33768.356282        0.138150
LBFGS:   30 10:37:50   -33768.359445        0.149165
LBFGS:   31 10:37:50   -33768.362273        0.273440
LBFGS:   32 10:37:50   -33768.364372        0.145542
LBFGS:   33 10:37:50   -33768.365838        0.061626
LBFGS:   34 10:37:50   -33768.366435        0.054118
LBFGS:   35 10:37:50   -33768.367163        0.061276
LBFGS:   36 10:37:50   -33768.368003        0.103000
LBFGS:   37 10:37:50   -33768.369165        0.138439
LBFGS:   38 10:37:50   -33768.370437        0.139739
LBFGS:   39 10:37:50   -33768.371686        0.110713
LBFGS:   40 10:37:50   -33768.372753        0.080305
LBFGS:   41 10:37:50   -33768.373597        0.059706
LBFGS:   42 10:37:50   -33768.374213        0.061545
LBFGS:   43 10:37:50   -33768.374758        0.078793
LBFGS:   44 10:37:50   -33768.375413        0.099267
LBFGS:   45 10:37:50   -33768.376325        0.112995
LBFGS:   46 10:37:50   -33768.377503        0.114302
LBFGS:   47 10:37:50   -33768.378810        0.114287
LBFGS:   48 10:37:50   -33768.380106        0.093094
LBFGS:   49 10:37:50   -33768.381373        0.086278
LBFGS:   50 10:37:50   -33768.382606        0.086905
LBFGS:   51 10:37:50   -33768.383768        0.075432
LBFGS:   52 10:37:50   -33768.384682        0.069755
LBFGS:   53 10:37:50   -33768.385341        0.054084
LBFGS:   54 10:37:50   -33768.385904        0.083104
LBFGS:   55 10:37:50   -33768.386489        0.059897
LBFGS:   56 10:37:50   -33768.387021        0.046419
