       Step     Time          Energy          fmax
LBFGS:    0 10:37:08   -33766.491030        9.131861
LBFGS:    1 10:37:08   -33767.315256       11.327284
LBFGS:    2 10:37:08   -33767.695751        4.809309
LBFGS:    3 10:37:08   -33767.948225        1.858733
LBFGS:    4 10:37:08   -33768.034496        0.749854
LBFGS:    5 10:37:08   -33768.089670        1.167448
LBFGS:    6 10:37:08   -33768.129906        0.905169
LBFGS:    7 10:37:08   -33768.153727        0.368209
LBFGS:    8 10:37:08   -33768.170069        0.346071
LBFGS:    9 10:37:08   -33768.182418        0.398632
LBFGS:   10 10:37:08   -33768.190438        0.248021
LBFGS:   11 10:37:08   -33768.195719        0.161869
LBFGS:   12 10:37:08   -33768.199259        0.194370
LBFGS:   13 10:37:08   -33768.202594        0.196446
LBFGS:   14 10:37:09   -33768.205614        0.145660
LBFGS:   15 10:37:09   -33768.208315        0.129138
LBFGS:   16 10:37:09   -33768.210201        0.109004
LBFGS:   17 10:37:09   -33768.211586        0.108350
LBFGS:   18 10:37:09   -33768.212830        0.092271
LBFGS:   19 10:37:09   -33768.214129        0.104032
LBFGS:   20 10:37:09   -33768.215407        0.098258
LBFGS:   21 10:37:09   -33768.216702        0.096575
LBFGS:   22 10:37:09   -33768.218106        0.093818
LBFGS:   23 10:37:09   -33768.219732        0.102046
LBFGS:   24 10:37:09   -33768.221401        0.107318
LBFGS:   25 10:37:09   -33768.222944        0.109849
LBFGS:   26 10:37:09   -33768.224270        0.096700
LBFGS:   27 10:37:09   -33768.225504        0.089730
LBFGS:   28 10:37:09   -33768.226587        0.070737
LBFGS:   29 10:37:09   -33768.227506        0.065182
LBFGS:   30 10:37:09   -33768.228265        0.058389
LBFGS:   31 10:37:09   -33768.228962        0.062817
LBFGS:   32 10:37:09   -33768.229660        0.067129
LBFGS:   33 10:37:09   -33768.230319        0.065920
LBFGS:   34 10:37:09   -33768.230862        0.053242
LBFGS:   35 10:37:09   -33768.231308        0.045783
