       Step     Time          Energy          fmax
LBFGS:    0 10:45:03   -33766.491030        9.131861
LBFGS:    1 10:45:03   -33767.315257       11.327284
LBFGS:    2 10:45:03   -33767.695749        4.809309
LBFGS:    3 10:45:03   -33767.948223        1.858735
LBFGS:    4 10:45:03   -33768.034497        0.749854
LBFGS:    5 10:45:03   -33768.089672        1.167446
LBFGS:    6 10:45:03   -33768.129906        0.905172
LBFGS:    7 10:45:03   -33768.153725        0.368220
LBFGS:    8 10:45:03   -33768.170067        0.346085
LBFGS:    9 10:45:03   -33768.182419        0.398621
LBFGS:   10 10:45:03   -33768.190438        0.248011
LBFGS:   11 10:45:03   -33768.195719        0.161868
LBFGS:   12 10:45:03   -33768.199258        0.194381
LBFGS:   13 10:45:03   -33768.202595        0.196454
LBFGS:   14 10:45:03   -33768.205617        0.145664
LBFGS:   15 10:45:03   -33768.208315        0.129134
LBFGS:   16 10:45:03   -33768.210201        0.108980
LBFGS:   17 10:45:03   -33768.211585        0.108364
LBFGS:   18 10:45:03   -33768.212833        0.092269
LBFGS:   19 10:45:03   -33768.214128        0.104038
LBFGS:   20 10:45:03   -33768.215408        0.098254
LBFGS:   21 10:45:03   -33768.216702        0.096552
LBFGS:   22 10:45:03   -33768.218107        0.093818
LBFGS:   23 10:45:03   -33768.219731        0.102056
LBFGS:   24 10:45:03   -33768.221402        0.107315
LBFGS:   25 10:45:03   -33768.222945        0.109848
LBFGS:   26 10:45:03   -33768.224270        0.096697
LBFGS:   27 10:45:03   -33768.225504        0.089739
LBFGS:   28 10:45:03   -33768.226587        0.070744
LBFGS:   29 10:45:03   -33768.227506        0.065179
LBFGS:   30 10:45:03   -33768.228263        0.058390
LBFGS:   31 10:45:03   -33768.228964        0.062818
LBFGS:   32 10:45:03   -33768.229658        0.067106
LBFGS:   33 10:45:03   -33768.230319        0.065927
LBFGS:   34 10:45:03   -33768.230859        0.053244
LBFGS:   35 10:45:03   -33768.231308        0.045790
