       Step     Time          Energy          fmax
LBFGS:    0 10:37:09   -33766.648022        8.206493
LBFGS:    1 10:37:09   -33767.478771       10.494430
LBFGS:    2 10:37:09   -33767.790749        4.769695
LBFGS:    3 10:37:09   -33768.026631        1.909008
LBFGS:    4 10:37:09   -33768.101983        0.670111
LBFGS:    5 10:37:09   -33768.152769        1.009751
LBFGS:    6 10:37:09   -33768.196983        0.680319
LBFGS:    7 10:37:09   -33768.216760        0.315733
LBFGS:    8 10:37:09   -33768.232046        0.367126
LBFGS:    9 10:37:09   -33768.243728        0.447195
LBFGS:   10 10:37:09   -33768.255308        0.309499
LBFGS:   11 10:37:09   -33768.267497        0.271522
LBFGS:   12 10:37:09   -33768.279987        0.309978
LBFGS:   13 10:37:09   -33768.292898        0.364941
LBFGS:   14 10:37:09   -33768.306358        0.266587
LBFGS:   15 10:37:09   -33768.320412        0.271625
LBFGS:   16 10:37:09   -33768.332129        0.248756
LBFGS:   17 10:37:09   -33768.340071        0.181626
LBFGS:   18 10:37:09   -33768.345051        0.151948
LBFGS:   19 10:37:09   -33768.348438        0.135911
LBFGS:   20 10:37:09   -33768.350755        0.122491
LBFGS:   21 10:37:09   -33768.352384        0.093763
LBFGS:   22 10:37:09   -33768.353406        0.067334
LBFGS:   23 10:37:09   -33768.353993        0.059295
LBFGS:   24 10:37:09   -33768.354418        0.064267
LBFGS:   25 10:37:10   -33768.354919        0.062818
LBFGS:   26 10:37:10   -33768.355655        0.064373
LBFGS:   27 10:37:10   -33768.356562        0.065609
LBFGS:   28 10:37:10   -33768.357366        0.071884
LBFGS:   29 10:37:10   -33768.358079        0.057422
LBFGS:   30 10:37:10   -33768.358811        0.057308
LBFGS:   31 10:37:10   -33768.359661        0.061405
LBFGS:   32 10:37:10   -33768.360518        0.074818
LBFGS:   33 10:37:10   -33768.361347        0.079770
LBFGS:   34 10:37:10   -33768.362198        0.076941
LBFGS:   35 10:37:10   -33768.363177        0.096953
LBFGS:   36 10:37:10   -33768.364136        0.083226
LBFGS:   37 10:37:10   -33768.364972        0.067961
LBFGS:   38 10:37:10   -33768.365647        0.074922
LBFGS:   39 10:37:10   -33768.366434        0.073213
LBFGS:   40 10:37:10   -33768.367366        0.077130
LBFGS:   41 10:37:10   -33768.368245        0.077179
LBFGS:   42 10:37:10   -33768.368894        0.068620
LBFGS:   43 10:37:10   -33768.369393        0.054776
LBFGS:   44 10:37:10   -33768.369852        0.057071
LBFGS:   45 10:37:10   -33768.370368        0.062510
LBFGS:   46 10:37:10   -33768.370946        0.067332
LBFGS:   47 10:37:10   -33768.371509        0.071112
LBFGS:   48 10:37:10   -33768.371958        0.062011
LBFGS:   49 10:37:10   -33768.372305        0.050457
LBFGS:   50 10:37:10   -33768.372635        0.053141
LBFGS:   51 10:37:10   -33768.373059        0.064606
LBFGS:   52 10:37:10   -33768.373562        0.067779
LBFGS:   53 10:37:10   -33768.374076        0.059173
LBFGS:   54 10:37:10   -33768.374492        0.045436
