       Step     Time          Energy          fmax
LBFGS:    0 10:39:39   -33766.491030        9.131862
LBFGS:    1 10:39:39   -33767.315258       11.327284
LBFGS:    2 10:39:39   -33767.695749        4.809309
LBFGS:    3 10:39:39   -33767.948225        1.858733
LBFGS:    4 10:39:39   -33768.034496        0.749856
LBFGS:    5 10:39:39   -33768.089671        1.167446
LBFGS:    6 10:39:39   -33768.129905        0.905171
LBFGS:    7 10:39:39   -33768.153728        0.368212
LBFGS:    8 10:39:39   -33768.170068        0.346072
LBFGS:    9 10:39:39   -33768.182421        0.398621
LBFGS:   10 10:39:39   -33768.190436        0.248016
LBFGS:   11 10:39:39   -33768.195719        0.161868
LBFGS:   12 10:39:39   -33768.199259        0.194381
LBFGS:   13 10:39:39   -33768.202596        0.196469
LBFGS:   14 10:39:39   -33768.205616        0.145666
LBFGS:   15 10:39:39   -33768.208314        0.129139
LBFGS:   16 10:39:39   -33768.210200        0.109003
LBFGS:   17 10:39:39   -33768.211584        0.108351
LBFGS:   18 10:39:39   -33768.212829        0.092277
LBFGS:   19 10:39:39   -33768.214128        0.104028
LBFGS:   20 10:39:39   -33768.215409        0.098258
LBFGS:   21 10:39:39   -33768.216700        0.096555
LBFGS:   22 10:39:39   -33768.218108        0.093820
LBFGS:   23 10:39:39   -33768.219729        0.102055
LBFGS:   24 10:39:39   -33768.221399        0.107311
LBFGS:   25 10:39:39   -33768.222944        0.109819
LBFGS:   26 10:39:39   -33768.224269        0.096702
LBFGS:   27 10:39:39   -33768.225503        0.089733
LBFGS:   28 10:39:39   -33768.226586        0.070739
LBFGS:   29 10:39:39   -33768.227506        0.065177
LBFGS:   30 10:39:39   -33768.228264        0.058388
LBFGS:   31 10:39:39   -33768.228964        0.062816
LBFGS:   32 10:39:39   -33768.229656        0.067118
LBFGS:   33 10:39:39   -33768.230318        0.065932
LBFGS:   34 10:39:39   -33768.230860        0.053244
LBFGS:   35 10:39:39   -33768.231307        0.045796
