       Step     Time          Energy          fmax
LBFGS:    0 10:38:24   -33766.491030        9.131860
LBFGS:    1 10:38:24   -33767.315258       11.327266
LBFGS:    2 10:38:24   -33767.695750        4.809305
LBFGS:    3 10:38:24   -33767.948225        1.858734
LBFGS:    4 10:38:24   -33768.034498        0.749856
LBFGS:    5 10:38:24   -33768.089674        1.167449
LBFGS:    6 10:38:24   -33768.129906        0.905192
LBFGS:    7 10:38:24   -33768.153728        0.368220
LBFGS:    8 10:38:24   -33768.170069        0.346086
LBFGS:    9 10:38:24   -33768.182422        0.398619
LBFGS:   10 10:38:24   -33768.190437        0.248008
LBFGS:   11 10:38:24   -33768.195719        0.161871
LBFGS:   12 10:38:24   -33768.199261        0.194398
LBFGS:   13 10:38:24   -33768.202596        0.196437
LBFGS:   14 10:38:24   -33768.205615        0.145653
LBFGS:   15 10:38:24   -33768.208313        0.129142
LBFGS:   16 10:38:24   -33768.210201        0.108996
LBFGS:   17 10:38:24   -33768.211585        0.108358
LBFGS:   18 10:38:24   -33768.212830        0.092270
LBFGS:   19 10:38:24   -33768.214128        0.104036
LBFGS:   20 10:38:24   -33768.215410        0.098259
LBFGS:   21 10:38:24   -33768.216702        0.096551
LBFGS:   22 10:38:24   -33768.218108        0.093823
LBFGS:   23 10:38:24   -33768.219729        0.102062
LBFGS:   24 10:38:24   -33768.221401        0.107319
LBFGS:   25 10:38:24   -33768.222943        0.109825
LBFGS:   26 10:38:24   -33768.224271        0.096701
LBFGS:   27 10:38:24   -33768.225505        0.089724
LBFGS:   28 10:38:24   -33768.226586        0.070742
LBFGS:   29 10:38:24   -33768.227508        0.065178
LBFGS:   30 10:38:24   -33768.228265        0.058390
LBFGS:   31 10:38:24   -33768.228962        0.062818
LBFGS:   32 10:38:24   -33768.229660        0.067119
LBFGS:   33 10:38:24   -33768.230317        0.065925
LBFGS:   34 10:38:24   -33768.230861        0.053245
LBFGS:   35 10:38:24   -33768.231307        0.045791
