       Step     Time          Energy          fmax
LBFGS:    0 10:39:03   -33766.491030        9.131861
LBFGS:    1 10:39:03   -33767.315258       11.327267
LBFGS:    2 10:39:03   -33767.695751        4.809305
LBFGS:    3 10:39:03   -33767.948224        1.858733
LBFGS:    4 10:39:03   -33768.034497        0.749856
LBFGS:    5 10:39:03   -33768.089671        1.167447
LBFGS:    6 10:39:03   -33768.129907        0.905191
LBFGS:    7 10:39:03   -33768.153726        0.368214
LBFGS:    8 10:39:03   -33768.170067        0.346062
LBFGS:    9 10:39:03   -33768.182419        0.398621
LBFGS:   10 10:39:04   -33768.190438        0.248021
LBFGS:   11 10:39:04   -33768.195719        0.161867
LBFGS:   12 10:39:04   -33768.199258        0.194379
LBFGS:   13 10:39:04   -33768.202594        0.196439
LBFGS:   14 10:39:04   -33768.205615        0.145662
LBFGS:   15 10:39:04   -33768.208315        0.129135
LBFGS:   16 10:39:04   -33768.210202        0.109006
LBFGS:   17 10:39:04   -33768.211587        0.108347
LBFGS:   18 10:39:04   -33768.212831        0.092269
LBFGS:   19 10:39:04   -33768.214127        0.104029
LBFGS:   20 10:39:04   -33768.215406        0.098259
LBFGS:   21 10:39:04   -33768.216703        0.096544
LBFGS:   22 10:39:04   -33768.218108        0.093816
LBFGS:   23 10:39:04   -33768.219730        0.102048
LBFGS:   24 10:39:04   -33768.221402        0.107313
LBFGS:   25 10:39:04   -33768.222941        0.109871
LBFGS:   26 10:39:04   -33768.224268        0.096694
LBFGS:   27 10:39:04   -33768.225503        0.089741
LBFGS:   28 10:39:04   -33768.226586        0.070741
LBFGS:   29 10:39:04   -33768.227506        0.065188
LBFGS:   30 10:39:04   -33768.228264        0.058390
LBFGS:   31 10:39:04   -33768.228962        0.062813
LBFGS:   32 10:39:04   -33768.229661        0.067097
LBFGS:   33 10:39:04   -33768.230318        0.065924
LBFGS:   34 10:39:04   -33768.230860        0.053246
LBFGS:   35 10:39:04   -33768.231308        0.045791
